user_id,ideal_point,com
8175,0.0096424855,0.0
8526,-0.16133134,0.0
8598,-0.85800654,0.0
8619,-0.7433695,0.0
8685,-0.5573459,0.0
8758,-0.60575736,0.0
8765,-0.11000436,0.0
8827,-0.03029257,0.0
9014,-0.22982372,0.0
9023,0.0931085,0.0
9069,0.19807617,1.0
9075,-0.9771431,0.0
9183,-0.66482246,0.0
9192,-0.6252759,0.0
9208,-0.4074535,0.0
9266,-0.15020263,0.0
9285,0.7637398,1.0
9405,-0.36824083,0.0
9430,0.7277841,1.0
9469,-0.76699084,0.0
9689,-0.73494273,0.0
9694,-0.101418436,0.0
9708,-0.10144486,0.0
9762,0.5965957,1.0
9814,-0.62909466,0.0
9836,-0.45085087,0.0
9852,-0.25897336,0.0
9859,-0.037133906,0.0
9877,0.20673515,1.0
9894,0.5560406,1.0
9898,-0.8138205,0.0
9955,-0.25662455,0.0
9959,-0.5011485,0.0
9960,-0.675001,0.0
9962,-0.5625891,0.0
9964,-0.65397424,0.0
9979,0.30145296,1.0
10034,-0.16320185,0.0
10109,-0.7993901,0.0
10125,-0.28544265,0.0
10173,-1.1102566,0.0
10272,-0.3361926,0.0
10389,-0.19846189,0.0
10406,-0.2862618,0.0
10424,-0.30391648,0.0
10432,-0.7347867,0.0
10467,-0.89931834,0.0
10483,-0.7751956,0.0
10566,-0.115834504,0.0
10594,-0.95213,0.0
10643,-0.45814222,0.0
10654,0.114849314,1.0
10659,-1.371707,0.0
10833,0.83038735,1.0
10838,-0.7516069,0.0
10931,-0.101071075,0.0
10950,-0.113571055,0.0
11006,-0.17573589,0.0
11139,-0.6109654,0.0
11174,-0.4631732,0.0
11237,-1.2796835,0.0
11256,-0.49203408,0.0
11375,-0.8726283,0.0
11420,-0.63248575,0.0
11443,0.4421582,1.0
11515,-0.43558535,0.0
11526,-0.3107759,0.0
11592,-0.73137045,0.0
11636,0.10445331,1.0
11761,-0.6863654,0.0
12018,0.037383594,0.0
12033,-0.42663342,0.0
12044,-0.37396568,0.0
12054,-0.2784932,0.0
12078,-0.56700855,0.0
12251,-0.711746,0.0
12306,-0.5997397,0.0
12388,-0.701179,0.0
12433,-0.5102338,0.0
12462,-0.64617455,0.0
12466,0.49979112,1.0
12473,-0.8057044,0.0
12605,0.010292159,0.0
12619,-0.8537721,0.0
12679,0.22524574,1.0
12696,-0.38721314,0.0
12729,-0.32903433,0.0
12847,-0.9541863,0.0
12857,-0.6826567,0.0
13056,-0.33532494,0.0
13060,-0.33057272,0.0
13137,-0.49091354,0.0
13181,0.19287764,1.0
13220,1.141059,1.0
13240,-0.90377516,0.0
13248,-0.646127,0.0
13266,-0.64746183,0.0
13286,-0.48751935,0.0
13297,0.36215806,1.0
13489,0.9029814,1.0
13531,-0.62217295,0.0
13570,0.37753177,1.0
13655,0.0933833,0.0
13669,-0.25328267,0.0
13676,0.6475965,1.0
13732,-0.6256136,0.0
13772,-0.43642175,0.0
13804,-0.90572816,0.0
13811,-0.3457917,0.0
13866,-0.52387196,0.0
13872,-0.20039064,0.0
13919,-0.048841525,0.0
13950,0.22664236,1.0
14004,-0.69695437,0.0
14055,-0.30212834,0.0
14068,-0.35909814,0.0
14074,0.06812294,0.0
14192,-0.3981091,0.0
14234,-0.886721,0.0
14271,-0.7170218,0.0
14278,-0.562311,0.0
14297,-0.686047,0.0
14385,-0.7618048,0.0
14390,-0.5702954,0.0
14470,-0.5268124,0.0
14479,-0.6642872,0.0
14501,-0.4639449,0.0
14583,-0.49774367,0.0
14615,0.49923217,1.0
14617,0.1739383,1.0
14661,-0.7274796,0.0
14691,-0.3246963,0.0
14697,0.119368054,1.0
14736,0.7583539,1.0
14947,-0.39571834,0.0
14972,0.01592361,0.0
15014,-0.5887519,0.0
15075,-0.66237473,0.0
15097,0.022316132,0.0
15128,0.68572354,1.0
15149,-0.3036265,0.0
15159,-0.15656692,0.0
15174,-0.7201925,0.0
15271,-0.12827408,0.0
15278,-0.6174278,0.0
15290,-0.32611164,0.0
15300,-0.55640525,0.0
15362,-0.941866,0.0
