created_at,id,user_id,screen_name,followers_count,friend_count,in_reply_to_user_id,in_reply_to_screen_name,text,time,ideal_point
2022-07-06 01:49:27+00:00,1.544498729406714e+18,1.0902743775627633e+18,fknstuff,58.0,462.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:49:27+00:00,-0.30762237
2022-07-06 01:49:47+00:00,1.5444988148029522e+18,60597591.0,marcelarosen,527.0,949.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:49:47+00:00,-0.60984963
2022-07-06 01:50:59+00:00,1.544499115219792e+18,1.31717007362748e+18,Viviana45109717,547.0,718.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:50:59+00:00,-0.096060246
2022-07-06 01:51:08+00:00,1.5444991565755924e+18,121532724.0,solxim,225.0,449.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:51:08+00:00,0.21280675
2022-07-06 01:52:55+00:00,1.544499604669866e+18,488027891.0,Galoman6Com,129.0,1072.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:52:55+00:00,-0.29933196
2022-07-06 01:52:55+00:00,1.5444996051355812e+18,1.2344781938951905e+18,Memoriosa4,572.0,1122.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:52:55+00:00,-0.3380522
2022-07-06 01:52:56+00:00,1.5444996057101558e+18,1.2759153526569697e+18,Francis83668777,845.0,1132.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:52:56+00:00,-0.48024532
2022-07-06 01:54:28+00:00,1.5444999942745702e+18,82371730.0,carlosilvag,402.0,1610.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:54:28+00:00,-0.73196906
2022-07-06 01:56:04+00:00,1.5445003979092828e+18,56131632.0,cuncorock,5091.0,5270.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:56:04+00:00,-0.63344395
2022-07-06 01:56:44+00:00,1.5445005645742244e+18,1.2914409740282552e+18,Valenti67552416,1035.0,848.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:56:44+00:00,-0.6724934
2022-07-06 01:57:06+00:00,1.5445006578512077e+18,634108424.0,rozamelaguilar,131.0,263.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:57:06+00:00,0.46270832
2022-07-06 01:58:01+00:00,1.544500888592683e+18,7.532232466617795e+17,Reol1970,353.0,66.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:58:01+00:00,0.64258915
2022-07-06 01:58:21+00:00,1.5445009718619914e+18,2879838945.0,solpika,1571.0,1665.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:58:21+00:00,-0.19486625
2022-07-06 01:58:27+00:00,1.544500994880553e+18,1.5035109944752742e+18,Claudia27798979,466.0,871.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:58:27+00:00,-0.10832626
2022-07-06 02:01:17+00:00,1.54450171039932e+18,103755120.0,rodrigooyarzun,1224.0,1771.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:01:17+00:00,-0.7293967
2022-07-06 02:02:58+00:00,1.544502130588934e+18,1.29370997775283e+18,IbarRivas,34.0,196.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:02:58+00:00,-0.9384651
2022-07-06 02:03:00+00:00,1.5445021417794273e+18,110028478.0,aretulaqui,432.0,560.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:03:00+00:00,-0.25388953
2022-07-06 02:03:56+00:00,1.5445023747225068e+18,134673144.0,Dane_BS,5311.0,2036.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:03:56+00:00,-0.9879806
2022-07-06 02:04:15+00:00,1.5445024573378929e+18,104284664.0,Antipiretico,854.0,2421.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:04:15+00:00,0.65025747
